statistic	parameter	p.value	lor	q.value
3.080129627101676	1	0.0792542092494693	0.18318193871703473	0.2539916208949195
0.12888009738283615	1	0.7195960297201656	0.04926977882038924	0.9415218577745711
0.4096412906757734	1	0.5221516281923422	0.08501078970834869	0.7981879836251548
0.07521782886642076	1	0.7838858285939617	0.04792355231718276	0.9780371174098036
0	1	1	0.0190712548359408	1
4.9314347290640415	1	0.026372413074069213	-0.4349235749252077	0.12172708570112659
2.491559617918314	1	0.11445825101686476	0.13290766627957531	0.32032413305414237
24.40769128643275	1	7.795683890303652e-7	0.28035633938149956	1.0927515157538683e-4
1.2501906880806444	1	0.2635160600210039	-0.0801082356885841	0.5481134048436882
0.214181399536792	1	0.6435096213246944	0.07525095241919247	0.8896591202581884
0.5312252964426881	1	0.46609217453066454	-0.15678610386029462	0.7505899953480832
1.0064611844111453	1	0.31575212489827414	0.06079981648320232	0.6099369986051743
0.5441295546558704	1	0.460726325953948	0.07138856348375716	0.747549911864886
0.618629474706725	1	0.43155703806730983	0.07208642928302428	0.7203176714907169
0.6403568205987564	1	0.4235816168031652	-0.1555695919110796	0.7127490253514638
8.531390977443609	1	0.003490728169189711	-0.49069406190893633	0.032031216899504174
0.8082073534901081	1	0.36865077846700345	-0.10950176642745318	0.6669641469010208
0.4333212422823087	1	0.5103637491168173	0.06353057102371176	0.790979738602616
2.813948451375353	1	0.09344811550570323	-0.17281354929444528	0.2815670321405488
0.3053726832229996	1	0.5805336713284652	-0.049775763947912444	0.8495871794657158
0.5034519168291103	1	0.47798729400212664	-0.10051413727688163	0.7606273622225351
0	1	1	0.006246140663626304	1
0.5092055322128852	1	0.4754829774844612	-0.12909469637945764	0.757389881131375
6.126372466216217	1	0.013317985495557433	0.20994952631664865	0.07868909666540418
1.7738015096325863	1	0.18291231117197834	0.060488520187523986	0.43553123428246543
6.122023809523809	1	0.013350786562027322	0.21085336531489315	0.07868909666540418
4.5621684943740615	1	0.032685663207388485	-0.1298145879407625	0.14179962314617786
1.9026137444514903	1	0.16778604944633796	0.10145764075877706	0.41167596911338933
4.324843819106586	1	0.03755986091095153	-0.1815541547571835	0.154455346399117
0.23929248472415815	1	0.6247175871556206	-0.06596087664896205	0.8760719882512923
8.376923076923077	1	0.003800152373455718	-0.6020599913279623	0.03311267905951685
3.5206706219312602	1	0.060607919325581606	-0.29971195373606796	0.21504725591203308
2.110026545477711	1	0.14633677910675802	-0.17577297799936653	0.37354693257338706
0.3515625	1	0.5532299666570705	-0.07822780004030228	0.8262196630253263
